Fecha;TA_Jur;DTF;IBR;IPC;Cuvr;Auvr
1/01/2008;8.74%;9.12%;9.58%;6.00%;10.05%;10.36%
1/02/2008;8.89%;9.30%;9.67%;6.35%;10.03%;10.38%
1/03/2008;8.93%;9.59%;9.84%;5.93%;10.21%;10.33%
1/04/2008;7.37%;9.79%;9.83%;5.73%;10.25%;10.44%
1/05/2008;7.36%;9.59%;9.82%;6.39%;10.24%;10.53%
1/06/2008;7.40%;9.75%;9.82%;7.18%;10.47%;10.49%
1/07/2008;7.31%;9.61%;9.88%;7.52%;10.28%;10.50%
1/08/2008;7.67%;9.96%;10.08%;7.87%;10.89%;11.14%
1/09/2008;7.86%;9.92%;10.07%;7.57%;10.94%;11.57%
1/10/2008;7.86%;10.02%;10.08%;7.94%;11.46%;11.36%
1/11/2008;8.04%;10.13%;10.04%;7.73%;11.58%;11.34%
1/12/2008;7.98%;10.12%;9.70%;7.67%;11.39%;11.62%
1/01/2009;7.62%;9.69%;9.43%;7.18%;11.63%;11.45%
1/02/2009;7.26%;8.98%;9.10%;6.47%;11.38%;10.90%
1/03/2009;6.50%;8.17%;7.61%;6.14%;11.24%;10.71%
1/04/2009;5.92%;7.12%;7.03%;5.73%;11.14%;10.82%
1/05/2009;5.47%;6.20%;6.01%;4.77%;10.94%;10.64%
1/06/2009;4.79%;5.52%;4.83%;3.81%;10.55%;10.46%
1/07/2009;4.49%;5.15%;4.51%;3.28%;10.55%;10.58%
1/08/2009;4.32%;5.08%;4.36%;3.13%;10.53%;10.48%
1/09/2009;4.14%;4.89%;4.31%;3.21%;10.50%;10.43%
1/10/2009;3.96%;4.41%;4.03%;2.72%;10.16%;10.16%
1/11/2009;3.81%;4.40%;3.88%;2.37%;9.81%;9.88%
1/12/2009;3.23%;4.12%;3.31%;2.00%;9.80%;9.64%
1/01/2010;3.09%;4.04%;3.35%;2.10%;9.67%;9.39%
1/02/2010;3.10%;4.00%;3.37%;2.09%;9.54%;9.52%
1/03/2010;3.08%;3.93%;3.40%;1.84%;9.50%;9.48%
1/04/2010;3.03%;3.92%;3.50%;1.98%;9.44%;9.41%
1/05/2010;2.88%;3.63%;3.04%;2.07%;9.27%;9.31%
1/06/2010;2.79%;3.54%;3.04%;2.25%;9.20%;9.29%
1/07/2010;2.76%;3.52%;3.05%;2.24%;9.19%;9.31%
1/08/2010;2.80%;3.50%;3.04%;2.31%;9.09%;9.26%
1/09/2010;2.78%;3.47%;3.06%;2.28%;9.05%;9.26%
1/10/2010;2.78%;3.45%;3.05%;2.33%;9.04%;9.13%
1/11/2010;2.75%;3.44%;3.05%;2.59%;8.91%;9.00%
1/12/2010;2.70%;3.50%;3.06%;3.17%;8.97%;9.06%
1/01/2011;2.74%;3.48%;3.06%;3.40%;8.96%;9.03%
1/02/2011;2.70%;3.46%;3.08%;3.17%;8.96%;8.96%
